"传感器编号";"区域编号";"设备型号";"监测类型";"安装时间";"通信协议"
1001;1;"TH-SHT31-01";"温度";"2025-09-01 09:10:00";"MQTT"
1002;1;"TH-SHT31-02";"湿度";"2025-09-01 09:12:00";"MQTT"
1003;1;"CAM-IPC-2MP";"图像";"2025-09-02 10:00:00";"HTTP"
1004;2;"TH-BME280-01";"温度";"2025-09-03 08:30:00";"NB-IoT"
1005;2;"TH-BME280-02";"湿度";"2025-09-03 08:31:00";"NB-IoT"
1006;3;"TH-SHT35-01";"温度";"2025-09-05 14:20:00";"LoRa"
1007;3;"TH-SHT35-02";"湿度";"2025-09-05 14:21:00";"LoRa"
1008;4;"CAM-IPC-4MP";"图像";"2025-09-06 11:05:00";"HTTP"
1009;5;"TH-BME688-01";"温度";"2025-09-10 07:45:00";"MQTT"
1010;5;"TH-BME688-02";"湿度";"2025-09-10 07:46:00";"MQTT"
1011;6;"CAM-SOLAR-1";"图像";"2025-09-12 16:00:00";"CoAP"
1012;7;"TH-SHT31-03";"温度";"2025-09-15 09:00:00";"LoRa"
1013;7;"TH-SHT31-04";"湿度";"2025-09-15 09:01:00";"LoRa"
1014;8;"TH-BME280-03";"温度";"2025-09-18 10:10:00";"NB-IoT"
1015;8;"TH-BME280-04";"湿度";"2025-09-18 10:11:00";"NB-IoT"
1016;9;"CAM-PTZ-01";"图像";"2025-09-20 13:30:00";"HTTP"
1017;10;"TH-SHT35-03";"温度";"2025-09-22 08:40:00";"MQTT"
1018;10;"TH-SHT35-04";"湿度";"2025-09-22 08:41:00";"MQTT"
1019;11;"TH-BME688-03";"温度";"2025-09-25 15:00:00";"LoRa"
1020;12;"TH-BME688-04";"湿度";"2025-09-26 15:05:00";"LoRa"
1021;13;"CAM-TRAIL-01";"图像";"2025-10-01 09:30:00";"NB-IoT"
1022;14;"TH-SHT31-05";"温度";"2025-10-02 10:20:00";"MQTT"
1023;15;"TH-SHT31-06";"湿度";"2025-10-03 10:21:00";"MQTT"
1024;20;"TH-EDGE-TEST";"其他";"2025-10-05 12:00:00";"其他"
