"区域编号";"区域名称";"区域类型";"经度";"纬度";"负责人ID"
1;"北山林区A-1号样地";"森林";116.3035;40.0123;2001
2;"北山林区A-2号样地";"森林";116.3051;40.0158;2001
3;"南坡林区B-1号样地";"森林";116.2899;39.9987;2002
4;"南坡林区B-2号样地";"森林";116.2922;39.9965;2002
5;"东沟草地C-1号片区";"草地";116.3312;40.0216;2003
6;"东沟草地C-2号片区";"草地";116.334;40.0242;2003
7;"西岭林区D-巡护线";"森林";116.2478;40.0301;2004
8;"西岭草地D-缓冲带";"草地";116.2433;40.0288;2004
9;"河谷林区E-上游";"森林";116.3705;39.9804;2005
10;"河谷草地E-下游";"草地";116.3768;39.9759;2005
11;"防火隔离带F-1段";"森林";116.312;40.05;2006
12;"防火隔离带F-2段";"森林";116.318;40.052;2006
13;"苗圃试验区G";"森林";116.28;40.06;2007
14;"湿地边缘草地H";"草地";116.41;39.94;2008
15;"景区入口林地I";"森林";116.3555;40.0055;2009
16;"景区观景台草地J";"草地";116.36;40.01;2009
17;"极值测试区-经度-180";"森林";-180.0;10.0;2010
18;"极值测试区-经度180";"草地";180.0;-10.0;2011
19;"极值测试区-纬度-90";"森林";30.0;-90.0;2012
20;"极值测试区-纬度90";"草地";-30.0;90.0;2013
