"数据编号";"数据采集时间";"传感器编号";"监测数值";"图像存储路径";"数据状态"
50001;"2025-12-30 08:00:00.000";1001;-5.2;"";"有效"
50002;"2025-12-30 08:01:00.000";1001;-4.9;"";"有效"
50003;"2025-12-30 08:02:00.000";1001;-4.5;"";"有效"
50004;"2025-12-30 08:03:00.000";1001;0.0;"";"有效"
50005;"2025-12-30 08:04:00.000";1001;38.0;"";"有效"
50006;"2025-12-30 08:05:00.000";1001;60.0;"";"无效"
50007;"2025-12-30 08:06:00.000";1001;-80.0;"";"无效"
50008;"2025-12-30 08:07:00.000";1001;25.678;"";"有效"
50009;"2025-12-30 08:00:00.000";1002;45.5;"";"有效"
50010;"2025-12-30 08:01:00.000";1002;30.0;"";"有效"
50011;"2025-12-30 08:02:00.000";1002;20.0;"";"有效"
50012;"2025-12-30 08:03:00.000";1002;0.0;"";"有效"
50013;"2025-12-30 08:04:00.000";1002;100.0;"";"有效"
50014;"2025-12-30 08:05:00.000";1002;120.0;"";"无效"
50015;"2025-12-30 08:06:00.000";1002;-3.0;"";"无效"
50016;"2025-12-30 08:07:00.000";1002;55.123;"";"有效"
50017;"2025-12-30 08:00:00.100";1003;0.0;"/data/images/area1/20251230/080000_1003.jpg";"有效"
50018;"2025-12-30 08:01:00.100";1003;0.0;"/data/images/area1/20251230/080100_1003.jpg";"有效"
50019;"2025-12-30 08:02:00.100";1003;0.0;"/data/images/area1/20251230/080200_1003.jpg";"有效"
50020;"2025-12-30 08:03:00.100";1003;0.0;"/data/images/area1/20251230/080300_1003.jpg";"有效"
50021;"2025-12-30 08:04:00.100";1003;0.0;"/data/images/area1/20251230/080400_1003.jpg";"有效"
50022;"2025-12-30 08:05:00.100";1003;0.0;"/data/images/area1/20251230/080500_1003.jpg";"无效"
50023;"2025-12-30 08:06:00.100";1003;0.0;"/data/images/area1/20251230/080600_1003.jpg";"有效"
50024;"2025-12-30 08:07:00.100";1003;0.0;"/data/images/area1/20251230/080700_1003.jpg";"有效"
50025;"2025-12-30 09:10:00.000";1004;12.3;"";"有效"
50026;"2025-12-30 09:11:00.000";1004;12.5;"";"有效"
50027;"2025-12-30 09:12:00.000";1004;12.8;"";"有效"
50028;"2025-12-30 09:13:00.000";1004;39.0;"";"有效"
50029;"2025-12-30 09:14:00.000";1004;85.0;"";"无效"
50030;"2025-12-30 09:15:00.000";1004;-40.0;"";"无效"
50031;"2025-12-30 09:16:00.000";1004;15.0;"";"有效"
50032;"2025-12-30 09:17:00.000";1004;15.2;"";"有效"
50033;"2025-12-30 09:10:00.000";1005;41.0;"";"有效"
50034;"2025-12-30 09:11:00.000";1005;40.5;"";"有效"
50035;"2025-12-30 09:12:00.000";1005;39.9;"";"有效"
50036;"2025-12-30 09:13:00.000";1005;18.0;"";"有效"
50037;"2025-12-30 09:14:00.000";1005;101.0;"";"无效"
50038;"2025-12-30 09:15:00.000";1005;0.0;"";"有效"
50039;"2025-12-30 09:16:00.000";1005;66.6;"";"有效"
50040;"2025-12-30 09:17:00.000";1005;67.2;"";"有效"
50041;"2025-12-30 10:00:00.000";1006;6.7;"";"有效"
50042;"2025-12-30 10:01:00.000";1006;6.8;"";"有效"
50043;"2025-12-30 10:02:00.000";1006;6.9;"";"有效"
50044;"2025-12-30 10:03:00.000";1006;38.5;"";"有效"
50045;"2025-12-30 10:04:00.000";1006;52.0;"";"无效"
50046;"2025-12-30 10:05:00.000";1006;7.0;"";"有效"
50047;"2025-12-30 10:00:00.000";1007;55.0;"";"有效"
50048;"2025-12-30 10:01:00.000";1007;54.7;"";"有效"
50049;"2025-12-30 10:02:00.000";1007;19.9;"";"有效"
50050;"2025-12-30 10:03:00.000";1007;10.0;"";"有效"
50051;"2025-12-30 10:04:00.000";1007;-1.0;"";"无效"
50052;"2025-12-30 10:05:00.000";1007;60.0;"";"有效"
50053;"2025-12-30 10:30:00.250";1008;0.0;"/data/images/area4/20251230/103000_1008.jpg";"有效"
50054;"2025-12-30 10:31:00.250";1008;0.0;"/data/images/area4/20251230/103100_1008.jpg";"有效"
50055;"2025-12-30 10:32:00.250";1008;0.0;"/data/images/area4/20251230/103200_1008.jpg";"有效"
50056;"2025-12-30 10:33:00.250";1008;0.0;"/data/images/area4/20251230/103300_1008.jpg";"无效"
50057;"2025-12-30 10:34:00.250";1008;0.0;"/data/images/area4/20251230/103400_1008.jpg";"有效"
50058;"2025-12-30 10:35:00.250";1008;0.0;"/data/images/area4/20251230/103500_1008.jpg";"有效"
50059;"2025-12-30 14:00:00.000";1017;21.0;"";"有效"
50060;"2025-12-30 14:01:00.000";1017;21.1;"";"有效"
50061;"2025-12-30 14:02:00.000";1017;21.05;"";"有效"
50062;"2025-12-30 14:03:00.000";1017;37.9;"";"有效"
50063;"2025-12-30 14:04:00.000";1017;38.0;"";"有效"
50064;"2025-12-30 14:05:00.000";1017;49.0;"";"无效"
50065;"2025-12-30 14:00:00.000";1018;65.0;"";"有效"
50066;"2025-12-30 14:01:00.000";1018;64.8;"";"有效"
50067;"2025-12-30 14:02:00.000";1018;64.9;"";"有效"
50068;"2025-12-30 14:03:00.000";1018;20.0;"";"有效"
50069;"2025-12-30 14:04:00.000";1018;19.5;"";"有效"
50070;"2025-12-30 14:05:00.000";1018;110.0;"";"无效"
